CLM_DTL_ID,CLMT_HIRE_DT,CLMT_JOB_TTL,CLMT_JOB_TYP,CLMT_DISAB_BGN_DT,CLMT_AVG_WKLY_WAGE,WORK_LOC,INDUSTRY,JOB_DESC,WORK_ENVIRONMENT,SUPERVISOR_NAME,REPORTING_CHANNEL,EMPLOYMENT_STATUS
54,2012-10-10,Office Clerk,Full-time,2013-03-02,7538.97,South Anthonyview,Transportation,Office Clerk responsible for various operational tasks.,On-site,Roger Richardson,Phone,Active
55,2021-05-24,Mechanic,Full-time,2021-09-14,2170.07,Brandonfort,Transportation,Mechanic responsible for various operational tasks.,On-site,Scott Hull,Email,Active
56,2023-05-27,Cashier,Full-time,2023-07-26,1701.69,Priceshire,Finance,Cashier responsible for various operational tasks.,On-site,Allen Joyce,Email,Active
57,2010-07-30,Warehouse Worker,Full-time,2010-09-23,7234.73,Williamport,Retail,Warehouse Worker responsible for various operational tasks.,On-site,Nichole Spencer,Phone,Active
58,2014-03-27,Sales Associate,Full-time,2015-03-06,1251.84,North Bradley,Retail,Sales Associate responsible for various operational tasks.,On-site,Valerie Jackson,Web,Active
59,2007-05-13,Office Clerk,Full-time,2008-05-11,5018.37,Francobury,Manufacturing,Office Clerk responsible for various operational tasks.,On-site,Joshua Cox,Phone,Active
60,2011-03-08,Office Clerk,Full-time,2011-07-15,677.81,West Thomas,Finance,Office Clerk responsible for various operational tasks.,On-site,Janet Ballard,Phone,Active
61,2022-12-29,Software Engineer,Full-time,2023-07-20,1515.95,West Samantha,Hospitality,Software Engineer responsible for various operational tasks.,On-site,Robert Shelton,Phone,Active
62,2009-07-31,Cashier,Full-time,2010-08-20,879.67,Floresburgh,Healthcare,Cashier responsible for various operational tasks.,On-site,Angela Turner,Email,Active
63,2008-12-22,Warehouse Worker,Full-time,2009-07-27,7600.67,New Mark,Retail,Warehouse Worker responsible for various operational tasks.,On-site,William Knight,Email,Active
64,2011-07-18,Nurse,Full-time,2012-04-12,5732.87,New Megan,Healthcare,Nurse responsible for various operational tasks.,On-site,Heather Hicks,Web,Active
65,2023-06-23,Warehouse Worker,Full-time,2024-03-25,964.14,Lake Craig,Healthcare,Warehouse Worker responsible for various operational tasks.,On-site,Kim Potter,Email,Active
66,2008-03-05,Software Engineer,Part-time,2008-07-05,4348.87,Montesfort,Transportation,Software Engineer responsible for various operational tasks.,On-site,Mitchell Harmon,Phone,Terminated
67,2010-07-28,Mechanic,Full-time,2010-10-29,2881.66,Greenshire,Technology,Mechanic responsible for various operational tasks.,On-site,John Harris,Web,Active
68,2009-02-05,Mechanic,Full-time,2009-03-15,1174.37,Danielberg,Technology,Mechanic responsible for various operational tasks.,On-site,Kim Williams,Phone,Active
69,2012-12-20,Mechanic,Full-time,2013-01-06,2083.44,West Glendaville,Manufacturing,Mechanic responsible for various operational tasks.,Hybrid,Mitchell Jensen,Web,Active
70,2020-06-16,Office Clerk,Part-time,2021-05-06,5703.54,Port Brendaborough,Technology,Office Clerk responsible for various operational tasks.,Hybrid,Daniel Butler,Web,Active
71,2006-10-16,Software Engineer,Full-time,2007-01-06,6004.29,Nicholsland,Transportation,Software Engineer responsible for various operational tasks.,Remote,Julie Murphy,Phone,Terminated
72,2020-02-11,Mechanic,Full-time,2020-08-05,6705.17,Port Richardfort,Construction,Mechanic responsible for various operational tasks.,On-site,Sarah Berry,Web,Active
73,2012-07-22,Software Engineer,Full-time,2013-05-23,6521.38,New Danielleport,Healthcare,Software Engineer responsible for various operational tasks.,On-site,Jason Bowen,Phone,Active
74,2016-09-21,Security Guard,Full-time,2016-12-02,2729.65,South Sharon,Transportation,Security Guard responsible for various operational tasks.,Hybrid,Melissa Glenn,Email,Active
75,2013-04-01,Software Engineer,Full-time,2013-08-25,6428.9,Villanuevaberg,Technology,Software Engineer responsible for various operational tasks.,On-site,Tina Jackson,Web,Active
76,2023-06-22,Security Guard,Full-time,2024-05-05,1291.94,Port Stephanie,Finance,Security Guard responsible for various operational tasks.,On-site,Christy Kramer,Email,Active
77,2009-04-08,Office Clerk,Full-time,2009-09-11,3203.56,Lake Emma,Manufacturing,Office Clerk responsible for various operational tasks.,On-site,Steven Herrera,Web,Active
78,2007-11-12,Warehouse Worker,Full-time,2008-10-07,725.16,Kurtmouth,Retail,Warehouse Worker responsible for various operational tasks.,On-site,Melissa Vincent,Phone,Active
79,2008-04-17,Software Engineer,Full-time,2008-08-20,1379.6,North Molly,Manufacturing,Software Engineer responsible for various operational tasks.,On-site,Mitchell Evans,Phone,Active
80,2012-02-08,Cashier,Part-time,2012-03-01,7888.81,Lake Sarahhaven,Hospitality,Cashier responsible for various operational tasks.,Remote,Melanie Chaney,Email,Active
81,2022-07-28,Nurse,Part-time,2022-07-22,5336.46,Kaylashire,Transportation,Nurse responsible for various operational tasks.,On-site,Jesse Swanson,Email,Active
82,2024-04-21,Office Clerk,Full-time,2024-09-27,4671.43,Davidmouth,Technology,Office Clerk responsible for various operational tasks.,On-site,Joseph Patterson,Email,Active
83,2007-03-19,Security Guard,Full-time,2008-02-18,801.04,Smithtown,Retail,Security Guard responsible for various operational tasks.,On-site,Danielle Blankenship,Email,Active
84,2020-08-17,Software Engineer,Full-time,2021-08-03,2077.39,Meghanville,Manufacturing,Software Engineer responsible for various operational tasks.,On-site,Jessica Chavez,Email,Active
85,2012-10-22,Security Guard,Full-time,2012-10-23,1444.66,Port Catherineport,Hospitality,Security Guard responsible for various operational tasks.,Remote,Erin Wiggins,Email,Active
86,2014-03-01,Security Guard,Full-time,2014-10-12,1638.32,Tonyfort,Healthcare,Security Guard responsible for various operational tasks.,On-site,Miss Tiffany Thomas,Web,Active
87,2024-12-06,Warehouse Worker,Full-time,2025-07-06,6243.72,Bradleyport,Manufacturing,Warehouse Worker responsible for various operational tasks.,On-site,Allison Hood,Phone,Active
88,2007-07-13,Security Guard,Full-time,2007-09-11,2569.42,Ortizhaven,Retail,Security Guard responsible for various operational tasks.,On-site,Jeffery Maldonado,Web,Active
89,2023-02-15,Nurse,Part-time,2023-02-24,5458.56,Contrerasland,Construction,Nurse responsible for various operational tasks.,Remote,Natalie Hines,Email,Terminated
90,2019-10-05,Mechanic,Full-time,2020-05-30,5044.98,Amandabury,Technology,Mechanic responsible for various operational tasks.,On-site,Sue Moore,Phone,Active
91,2013-04-03,Nurse,Full-time,2013-04-02,3585.31,Aliciaport,Retail,Nurse responsible for various operational tasks.,Remote,Timothy Navarro,Web,Active
92,2020-08-02,Nurse,Full-time,2021-04-15,708.89,Port Jacobfort,Healthcare,Nurse responsible for various operational tasks.,On-site,Martin Harrell,Phone,Active
93,2019-05-31,Office Clerk,Full-time,2020-05-16,4611.09,Port Jenniferchester,Hospitality,Office Clerk responsible for various operational tasks.,On-site,Samantha Jones,Phone,Active
94,2025-01-26,Sales Associate,Full-time,2025-01-22,7177.88,New Scottburgh,Technology,Sales Associate responsible for various operational tasks.,On-site,Jason Huynh,Email,Active
95,2017-07-19,Sales Associate,Full-time,2017-12-06,6798.65,West Seanborough,Hospitality,Sales Associate responsible for various operational tasks.,On-site,Brianna Weber,Phone,Active
96,2011-03-18,Security Guard,Full-time,2012-03-07,5860.39,South Amy,Technology,Security Guard responsible for various operational tasks.,Remote,Victoria Howard,Phone,Active
97,2008-03-25,Nurse,Part-time,2008-12-15,5597.25,East Kimberly,Manufacturing,Nurse responsible for various operational tasks.,Remote,Daniel Clark,Email,Active
98,2016-05-10,Nurse,Full-time,2016-10-10,2134.19,West Kimberly,Healthcare,Nurse responsible for various operational tasks.,On-site,Joe Duran,Web,Active
99,2009-09-24,Office Clerk,Full-time,2010-02-05,4950.96,North Josephmouth,Transportation,Office Clerk responsible for various operational tasks.,On-site,Ronald Castro,Phone,Active
100,2010-06-07,Sales Associate,Part-time,2010-10-14,1447.03,East Christina,Transportation,Sales Associate responsible for various operational tasks.,On-site,Monique Harper,Web,Active
101,2011-04-14,Mechanic,Part-time,2011-05-05,5336.77,Cookton,Hospitality,Mechanic responsible for various operational tasks.,Hybrid,Nicole Bonilla,Phone,Terminated
102,2014-01-18,Software Engineer,Full-time,2014-10-20,2920.45,Martinezhaven,Technology,Software Engineer responsible for various operational tasks.,On-site,Tracey Thomas,Email,Active
103,2014-06-13,Sales Associate,Full-time,2014-10-31,1190.74,Charlesville,Hospitality,Sales Associate responsible for various operational tasks.,On-site,Olivia Wallace,Web,Active
104,2009-03-11,Security Guard,Full-time,2009-12-17,4743.09,Grossfort,Retail,Security Guard responsible for various operational tasks.,On-site,Douglas Brown,Web,Active
105,2012-12-19,Software Engineer,Full-time,2013-12-10,4616.55,Port Charlesbury,Construction,Software Engineer responsible for various operational tasks.,On-site,Jeremy Schultz,Phone,Active
106,2023-07-01,Security Guard,Full-time,2024-06-20,2192.96,North Erictown,Hospitality,Security Guard responsible for various operational tasks.,On-site,Selena Thomas,Email,Active
107,2014-10-31,Software Engineer,Full-time,2014-11-05,6722.92,Deborahhaven,Construction,Software Engineer responsible for various operational tasks.,Hybrid,Michael Hayes,Web,Terminated
108,2024-04-06,Office Clerk,Full-time,2024-05-22,7184.89,North Michael,Healthcare,Office Clerk responsible for various operational tasks.,On-site,Deborah Lewis,Web,Active
109,2011-10-13,Mechanic,Full-time,2012-01-09,2793.08,East Tammystad,Retail,Mechanic responsible for various operational tasks.,On-site,Candice Bradley,Phone,Active
110,2010-04-25,Nurse,Part-time,2011-05-07,1499.07,North Rebeccatown,Healthcare,Nurse responsible for various operational tasks.,Hybrid,Kenneth Hansen,Web,Active
111,2011-08-02,Security Guard,Full-time,2012-03-23,5754.59,Carrstad,Retail,Security Guard responsible for various operational tasks.,On-site,Nicole Wall,Email,Active
112,2016-06-14,Sales Associate,Part-time,2017-05-03,6352.61,South Sherriside,Finance,Sales Associate responsible for various operational tasks.,On-site,Amy Caldwell,Phone,Active
113,2009-10-12,Mechanic,Full-time,2010-03-02,6473.81,Rileyberg,Healthcare,Mechanic responsible for various operational tasks.,On-site,Logan Sanders,Email,Active
114,2011-01-19,Warehouse Worker,Full-time,2011-02-02,2616.97,Evanstown,Transportation,Warehouse Worker responsible for various operational tasks.,Hybrid,Anthony Vega,Web,Active
115,2015-08-03,Nurse,Full-time,2015-09-22,927.7,West Brittney,Healthcare,Nurse responsible for various operational tasks.,On-site,Sarah Adams,Email,Active
116,2008-05-10,Software Engineer,Full-time,2009-03-04,4582.59,Gregoryburgh,Construction,Software Engineer responsible for various operational tasks.,On-site,Stephanie Johnson,Email,Active
117,2018-05-13,Warehouse Worker,Full-time,2018-11-13,6650.51,West Alexander,Construction,Warehouse Worker responsible for various operational tasks.,On-site,Lisa Winters,Phone,Active
118,2017-03-14,Nurse,Full-time,2018-01-13,3493.75,Jeffreyburgh,Healthcare,Nurse responsible for various operational tasks.,On-site,Christopher Barber,Phone,Active
119,2019-08-08,Cashier,Full-time,2020-04-14,7827.74,East Jimmy,Hospitality,Cashier responsible for various operational tasks.,On-site,Christina Hunter,Email,Active
120,2011-05-13,Sales Associate,Full-time,2011-08-03,7202.26,East Samanthaview,Transportation,Sales Associate responsible for various operational tasks.,On-site,Connie Lopez,Email,Active
121,2008-11-06,Cashier,Full-time,2009-11-06,4673.48,Hernandezburgh,Healthcare,Cashier responsible for various operational tasks.,Hybrid,Amy Fisher,Web,Active
122,2014-07-04,Nurse,Full-time,2015-06-08,7430.81,Lake Raymondville,Healthcare,Nurse responsible for various operational tasks.,On-site,Joseph Hubbard,Web,Active
123,2012-03-31,Sales Associate,Part-time,2012-09-20,5567.47,East Josemouth,Healthcare,Sales Associate responsible for various operational tasks.,On-site,Douglas Ramsey,Email,Active
124,2018-01-23,Security Guard,Full-time,2018-03-05,7510.47,New Stacey,Transportation,Security Guard responsible for various operational tasks.,On-site,Mallory Burns,Web,Active
125,2022-11-02,Warehouse Worker,Full-time,2023-09-07,4884.07,Port Angelaberg,Transportation,Warehouse Worker responsible for various operational tasks.,On-site,Amber Hernandez,Web,Active
126,2012-12-21,Cashier,Full-time,2013-02-15,965.28,Tonyastad,Healthcare,Cashier responsible for various operational tasks.,On-site,Jennifer Mitchell,Web,Active
127,2008-04-10,Sales Associate,Full-time,2008-10-21,1714.42,Wendyview,Construction,Sales Associate responsible for various operational tasks.,On-site,Erin Lloyd,Web,Active
128,2010-06-05,Sales Associate,Full-time,2011-01-29,3160.46,Michaelbury,Finance,Sales Associate responsible for various operational tasks.,On-site,Monica Clark,Web,Active
129,2023-08-07,Sales Associate,Full-time,2023-11-24,7124.55,Turnerton,Healthcare,Sales Associate responsible for various operational tasks.,On-site,Connie Collier,Phone,Active
130,2015-06-09,Office Clerk,Full-time,2015-10-23,5447.68,Port Davidview,Hospitality,Office Clerk responsible for various operational tasks.,On-site,Steven Flynn,Phone,Active
131,2008-09-04,Warehouse Worker,Full-time,2009-06-05,960.85,North Alexander,Transportation,Warehouse Worker responsible for various operational tasks.,On-site,Zachary Roberts,Web,Active
132,2012-05-01,Sales Associate,Full-time,2012-06-07,1515.17,Brooksbury,Retail,Sales Associate responsible for various operational tasks.,On-site,Jessica Bailey,Web,Active
133,2009-11-14,Software Engineer,Full-time,2009-11-13,3510.96,Jessicaton,Technology,Software Engineer responsible for various operational tasks.,On-site,Julie Wright,Web,Terminated
134,2006-10-17,Warehouse Worker,Full-time,2007-05-23,785.65,East Matthew,Technology,Warehouse Worker responsible for various operational tasks.,On-site,Thomas Bennett,Email,Active
135,2014-04-18,Cashier,Part-time,2015-02-25,7039.35,Michaelchester,Healthcare,Cashier responsible for various operational tasks.,On-site,Margaret Bentley,Email,Active
136,2006-03-10,Office Clerk,Full-time,2007-02-21,1612.7,West Tina,Technology,Office Clerk responsible for various operational tasks.,On-site,Stephen Higgins,Email,Terminated
137,2012-08-22,Software Engineer,Full-time,2013-03-27,4967.6,Lake Jeffery,Retail,Software Engineer responsible for various operational tasks.,On-site,Timothy Smith,Email,Active
138,2015-07-08,Sales Associate,Full-time,2016-06-06,6163.5,Torresfort,Transportation,Sales Associate responsible for various operational tasks.,On-site,James Barry,Web,Active
139,2010-11-14,Sales Associate,Full-time,2011-04-25,1101.4,East Alyssa,Healthcare,Sales Associate responsible for various operational tasks.,On-site,Brendan Garcia,Phone,Active
140,2017-01-22,Security Guard,Full-time,2017-10-27,1963.98,Lake Kurtmouth,Finance,Security Guard responsible for various operational tasks.,On-site,Judith Wells,Email,Active
141,2021-01-08,Warehouse Worker,Full-time,2021-05-05,1828.65,Aguilarport,Construction,Warehouse Worker responsible for various operational tasks.,On-site,Shelly Medina,Phone,Active
142,2016-05-19,Mechanic,Full-time,2016-07-07,3669.92,Josephport,Construction,Mechanic responsible for various operational tasks.,On-site,Jessica Long,Web,Active
143,2009-10-09,Cashier,Full-time,2009-12-08,7212.99,North Henryhaven,Manufacturing,Cashier responsible for various operational tasks.,On-site,Crystal Ramirez,Web,Active
144,2010-04-12,Sales Associate,Full-time,2010-05-24,5134.49,South Markville,Transportation,Sales Associate responsible for various operational tasks.,On-site,Ian Fischer,Web,Active
145,2007-05-29,Software Engineer,Part-time,2008-05-31,4751.7,Lake Sharonmouth,Finance,Software Engineer responsible for various operational tasks.,Hybrid,Chad Manning,Phone,Active
146,2013-11-19,Sales Associate,Full-time,2014-06-09,1453.22,Wilsonburgh,Transportation,Sales Associate responsible for various operational tasks.,On-site,Paula Reyes,Email,Active
147,2016-09-26,Security Guard,Full-time,2017-05-24,6140.97,North Jacobview,Manufacturing,Security Guard responsible for various operational tasks.,On-site,Tammy Holland,Web,Active
148,2023-10-19,Warehouse Worker,Full-time,2024-02-21,3808.63,Sethport,Healthcare,Warehouse Worker responsible for various operational tasks.,On-site,Sarah Ruiz,Phone,Active
149,2015-04-13,Cashier,Full-time,2015-11-25,4276.6,Stewartborough,Hospitality,Cashier responsible for various operational tasks.,On-site,Russell Mckinney,Phone,Active
150,2019-01-02,Warehouse Worker,Part-time,2019-01-25,4989.22,Lake Austinville,Transportation,Warehouse Worker responsible for various operational tasks.,Hybrid,Danielle Miller,Email,Active
151,2012-05-02,Office Clerk,Part-time,2013-01-29,4787.06,Ricardoton,Finance,Office Clerk responsible for various operational tasks.,Remote,Catherine Edwards,Web,Active
152,2007-10-06,Office Clerk,Part-time,2008-10-20,5189.97,Haneystad,Healthcare,Office Clerk responsible for various operational tasks.,Hybrid,Angela Dickson,Email,Terminated
153,2014-05-12,Office Clerk,Full-time,2014-05-15,3483.45,Tylermouth,Finance,Office Clerk responsible for various operational tasks.,On-site,Teresa Morris,Email,Active
154,2016-09-29,Software Engineer,Full-time,2016-11-06,1956.22,Nicoleberg,Transportation,Software Engineer responsible for various operational tasks.,On-site,Nicole Perez,Email,Active
155,2009-03-04,Office Clerk,Full-time,2009-06-27,1033.67,New Andrewside,Transportation,Office Clerk responsible for various operational tasks.,On-site,Derrick Wright,Web,Active
156,2009-08-17,Nurse,Full-time,2010-03-30,2013.81,Lisabury,Healthcare,Nurse responsible for various operational tasks.,On-site,Suzanne King,Phone,Active
157,2015-07-29,Software Engineer,Part-time,2016-07-31,6667.54,North Amanda,Construction,Software Engineer responsible for various operational tasks.,On-site,Francis Carter,Web,Active
158,2018-08-08,Sales Associate,Full-time,2018-08-15,1078.91,Edwardport,Technology,Sales Associate responsible for various operational tasks.,On-site,Stephen Ashley,Web,Active
159,2015-09-18,Cashier,Full-time,2016-09-16,1745.56,Ginaton,Transportation,Cashier responsible for various operational tasks.,On-site,Eric Phillips,Email,Active
160,2020-11-26,Software Engineer,Full-time,2021-05-09,5965.9,Christopherbury,Retail,Software Engineer responsible for various operational tasks.,On-site,Scott Cook,Phone,Active
161,2017-03-24,Mechanic,Full-time,2017-10-30,1183.55,Suzanneland,Technology,Mechanic responsible for various operational tasks.,On-site,John Cannon,Phone,Active
162,2023-05-16,Security Guard,Full-time,2024-04-25,1774.04,Barronhaven,Technology,Security Guard responsible for various operational tasks.,On-site,Krystal Brown,Email,Active
163,2008-02-08,Office Clerk,Full-time,2008-05-04,6244.79,West Traceymouth,Retail,Office Clerk responsible for various operational tasks.,On-site,Christopher Mcpherson,Web,Active
164,2017-07-14,Sales Associate,Full-time,2017-10-20,7914.05,Bryantland,Hospitality,Sales Associate responsible for various operational tasks.,On-site,Michelle Fisher DDS,Email,Active
165,2022-12-09,Nurse,Full-time,2023-01-14,7723.69,Lambberg,Healthcare,Nurse responsible for various operational tasks.,On-site,Makayla Gibson,Email,Active
166,2006-05-21,Mechanic,Full-time,2006-09-22,2276.93,East Paulside,Retail,Mechanic responsible for various operational tasks.,On-site,Abigail Turner,Phone,Active
167,2021-04-08,Warehouse Worker,Part-time,2021-07-31,4063.17,East Donaldberg,Transportation,Warehouse Worker responsible for various operational tasks.,Hybrid,Jacob Lopez,Web,Active
168,2018-09-16,Software Engineer,Full-time,2019-06-22,6368.19,Port Jerrytown,Healthcare,Software Engineer responsible for various operational tasks.,On-site,Dominic Chen,Email,Active
